dataset,number of images,number of images with predictions,number of images without predictions,actual class 0 count,actual class 1 count,actual class 2 count,actual class 3 count,actual class 4 count,actual class 5 count,class 0.0 classifications,class 1.0 classifications,class 2.0 classifications,class 3.0 classifications,class 4.0 classifications,average time,average time for images with predictions,average time for images without predictions,average confidence,number of correct predictions,number of incorrect predictions,accuracy of images with predictions,accuracy of all images,class 0 precision,class 1 precision,class 2 precision,class 3 precision,class 4 precision,class 0 recall,class 1 recall,class 2 recall,class 3 recall,class 4 recall,class 0 F1,class 1 F1,class 2 F1,class 3 F1,class 4 F1
trashnet,2527,2069,458,403,501,410,594,482,137,99,485,405,605,475,0.03148545,0.031280325,0.032412095,0.640799632,1896,173,91.63847269,75.02967946,0.919191919,0.960824742,0.960493827,0.885950413,0.871578947,0.225806452,0.930139721,0.948780488,0.902356902,0.858921162,0.362549801,0.945233266,0.954601227,0.894078399,0.865203762
trashnet without  trash images,2390,1951,439,403,501,410,594,482,,92,481,398,549,431,0.031434639,0.031202839,0.032464801,0.644361909,1896,55,97.18093285,79.33054393,0.989130435,0.968814969,0.977386935,0.976320583,0.960556845,0.225806452,0.930139721,0.948780488,0.902356902,0.858921162,0.367676768,0.949083503,0.962871287,0.937882765,0.906900329
